id,app,auth_methods,evidence_url,snippets,confidence
48,Gumroad,"[""Unclear""]",https://apitracker.io/a/gumroad,"[""https://apitracker.io/a/gumroad"", ""https://apis.io/providers/gumroad"", ""https://rollout.com/integration-guides/gumroad/api-essentials""]",low
49,Amazon Selling Partner,"[""Unclear""]",https://docs.aws.amazon.com/prescriptive-guidance/latest/strategy-gen-ai-selling-partner-api/integrating-sp-api.html,"[""https://sell.amazon.com/developers"", ""https://developer.amazonservices.com"", ""https://docs.aws.amazon.com/prescriptive-guidance/latest/strategy-gen-ai-selling-partner-api/integrating-sp-api.html""]",low
51,DataForSEO,"[""Unclear""]",https://dataforseo.com/apis,"[""https://www.youtube.com/watch?v=pYuxQLTCT0I"", ""https://dataforseo.com/blog/a-kickstart-guide-to-using-dataforseo-apis"", ""https://dataforseo.com/apis""]",low
52,SE Ranking,"[""Unclear""]",https://seranking.com/api/data/getting-started,"[""https://seranking.com/api/data/getting-started"", ""https://seranking.com/api/data/backlinks"", ""https://seranking.com/api/project""]",low
54,MrScraper,"[""Unclear""]",https://docs.mrscraper.com/docs/api/overview,"[""https://docs.mrscraper.com/docs/api/overview"", ""https://docs.mrscraper.com/docs/features/activating-api"", ""https://docs.mrscraper.com/docs/getting-started/overview""]",low
55,Apify,"[""Unclear""]",https://docs.apify.com/api/v2,"[""https://docs.apify.com/api/v2"", ""https://docs.apify.com/api"", ""https://github.com/apify/apify-docs""]",low
56,Firecrawl,"[""Unclear""]",https://docs.firecrawl.dev/api-reference/v2-introduction,"[""https://docs.firecrawl.dev/api-reference/v2-introduction"", ""https://hub.docker.com/r/baoduy2412/firecrawl-api"", ""https://github.com/firecrawl/firecrawl""]",low
57,Bright Data,"[""Unclear""]",https://docs.brightdata.com/api-reference/rest-api/serp/serp-api,"[""https://docs.brightdata.com/introduction"", ""https://docs.brightdata.com/api-reference/rest-api/serp/serp-api"", ""https://github.com/api-evangelist/bright-data""]",low
59,Waterfall.io,"[""Unclear""]",https://docs.waterfall.io/v1/introduction,"[""https://docs.waterfall.io/v1/introduction"", ""https://www.waterfall.io"", ""https://apify.com/ryanclinton/waterfall-contact-enrichment""]",low
60,Clay,"[""Unclear""]",https://apitracker.io/a/clay-run,"[""https://university.clay.com/docs/http-api-integration-overview"", ""https://apitracker.io/a/clay-run"", ""https://www.youtube.com/watch?v=uD4Aidlm2Gs""]",low
61,GitHub,"[""Unclear""]",https://docs.github.com/en/rest,"[""https://docs.github.com/rest/pulls/pulls"", ""https://docs.github.com/en/rest"", ""https://docs.github.com/rest/repos/contents""]",low
62,Vercel,"[""Unclear""]",https://vercel.com/docs/rest-api,"[""https://vercel.com/docs/rest-api"", ""https://vercel.com/docs/cli/api"", ""https://vercel.com/docs""]",low
64,Cloudflare,"[""Unclear""]",https://developers.cloudflare.com/api,"[""https://developers.cloudflare.com/workers-ai"", ""https://developers.cloudflare.com"", ""https://developers.cloudflare.com/api""]",low
67,Snowflake,"[""Unclear""]",https://docs.snowflake.com/en/api-reference,"[""https://apitracker.io/a/snowflake"", ""https://docs.snowflake.com/en/api-reference"", ""https://docs.snowflake.com/en/developer""]",low
68,MongoDB Atlas,"[""Unclear""]",https://www.mongodb.com/docs/atlas/atlas-ui/triggers/functions/api,"[""https://www.mongodb.com/docs/atlas/cli/upcoming/command/atlas-api-monitoringandlogs-listdatabases"", ""https://blog.postman.com/a-better-developer-experience-with-the-mongodb-atlas-data-api"", ""https://www.mongodb.com/docs/atlas/atlas-ui/triggers/functions/api""]",low
70,Sentry,"[""Unclear""]",https://docs.sentry.io/api,"[""https://apitracker.io/a/sentry"", ""https://docs.sentry.io/api"", ""https://sentry.io""]",low
71,Notion,"[""Unclear""]",https://www.notion.com/help/guides/connect-tools-to-notion-api,"[""https://www.notion.com/help/guides/connect-tools-to-notion-api"", ""https://apitracker.io/a/notion"", ""https://www.notion.com/blog/introducing-developer-platform""]",medium
73,Linear,"[""Unclear""]",https://linear.app/docs/api-and-webhooks,"[""https://apitracker.io/a/linear-app"", ""https://rollout.com/integration-guides/linear/api-essentials"", ""https://linear.app/docs/api-and-webhooks""]",low
74,Jira,"[""Unclear""]",https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro,"[""https://community.developer.atlassian.com/t/jira-api-guidance-for-integration-with-bespoke-software/26024"", ""https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro"", ""https://developer.atlassian.com/server/jira/platform/rest/v11002""]",low
75,Asana,"[""Unclear""]",https://developers.asana.com,"[""https://forum.asana.com/t/introducing-asanas-new-developer-documentation/327341"", ""https://asana.com/developers.md"", ""https://developers.asana.com""]",low
76,Monday.com,"[""Unclear""]",https://developer.monday.com/api-reference/docs/basics,"[""https://developer.monday.com/api-reference/docs/basics"", ""https://developer.monday.com/api-reference/reference/docs"", ""https://developer.monday.com""]",low
77,ClickUp,"[""Unclear""]",https://developer.clickup.com,"[""https://clickup.com/blog/how-to-write-api-documentation"", ""https://apitracker.io/a/clickup"", ""https://developer.clickup.com""]",low
78,Coda,"[""Unclear""]",https://coda.io/developers,"[""https://apis.io/apis/coda/coda-docs-api"", ""https://coda.io/developers"", ""https://codaio.readthedocs.io/en/latest""]",low
79,Smartsheet,"[""Unclear""]",https://developers.smartsheet.com,"[""https://developers.smartsheet.com"", ""https://community.smartsheet.com/en/categories/api-developers"", ""https://www.smartsheet.com/content-center/best-practices/tips-tricks/api-getting-started""]",low
81,Stripe,"[""Unclear""]",https://docs.stripe.com/api,"[""https://apitracker.io/a/stripe"", ""https://docs.stripe.com"", ""https://docs.stripe.com/api""]",medium
84,Paygent Connect,"[""Unclear""]",https://docs.nmi.com,"[""https://docs.nmi.com"", ""https://docs.nmi.com/docs/payment-component"", ""https://www.nmi.com/developers/sdks-apis""]",low
85,iPayX,"[""Unclear""]",https://www.ipayx.ai/docs/mcp-server,"[""https://www.ipayx.ai/docs/mcp-server"", ""https://www.ipayx.ai?lang=en"", ""https://www.ipayx.ai/integrations/microsoft-foundry""]",low
87,Xero,"[""Unclear""]",https://developer.xero.com/documentation/api/accounting/items,"[""https://github.com/xeroapi"", ""https://developer.xero.com/documentation/api/accounting/items"", ""https://apitracker.io/a/xero""]",medium
89,Ramp,"[""Unclear""]",https://docs.ramp.com/developer-api/v1,"[""https://support.ramp.com/accessing-the-developer-api"", ""https://docs.ramp.com/developer-api/v1"", ""https://ramp.com/developer-tools""]",medium
90,PitchBook,"[""Unclear""]",https://dlthub.com/context/source/pitchbook-api,"[""https://apitracker.io/a/pitchbook"", ""https://pipeline.zoominfo.com/sales/pitchbook-api-review"", ""https://dlthub.com/context/source/pitchbook-api""]",low
91,NotebookLM,"[""Unclear""]",https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,"[""https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks"", ""https://notebookclipper.com/blog/gemini-notebook-api"", ""https://autocontentapi.com/blog/does-notebooklm-have-an-api""]",medium
93,Fathom,"[""Unclear""]",https://developers.fathom.ai,"[""https://developers.fathom.ai"", ""https://apitracker.io/a/fathom-video"", ""https://github.com/trevorwelch/fathom-video-mcp""]",low
95,Reducto,"[""Unclear""]",https://docs.reducto.ai/overview,"[""https://github.com/api-evangelist/reducto-ai"", ""https://docs.reducto.ai/overview"", ""https://www.elastic.co/search-labs/blog/unstructured-documents-reducto-parsing-elasticsearch""]",low
96,Devin,"[""Unclear""]",https://docs.devin.ai/work-with-devin/devin-mcp,"[""https://fast.io/resources/devin-ai-docs-guide"", ""https://docs.devin.ai/work-with-devin/devin-mcp"", ""https://docs.devin.ai/work-with-devin/deepwiki-mcp""]",low
97,higgsfield,"[""Unclear""]",https://apidog.com/blog/higgsfield-api,"[""https://apis.io/providers/higgsfield"", ""https://apidog.com/blog/higgsfield-api"", ""https://github.com/higgsfield-ai/cli""]",low
99,YouTube Transcript,"[""Unclear""]",https://transcriptapi.com,"[""https://transcriptapi.com/blog/transcriptapi-vs-searchapi"", ""https://transcriptapi.com"", ""https://transcriptapi.com/blog/youtube-transcript-api-complete-developer-guide""]",low
100,Grain,"[""Unclear""]",https://developers.grain.com,"[""https://developers.grain.com"", ""https://grain.com/release-notes"", ""https://apitracker.io/a/grain-co""]",low
